,Score,Averagescores
399,-141.00000000000003,-333.5410000000008
400,-328.0000000000008,-336.27100000000087
401,-240.99999999999943,-335.69100000000077
402,-370.00000000000153,-333.1600000000008
403,-168.99999999999991,-331.2800000000008
404,-286.0,-327.80800000000085
405,-162.0,-325.4200000000008
406,-400.90000000000214,-328.9990000000008
407,-124.0000000000002,-326.22900000000084
408,-400.5000000000021,-327.6840000000008
409,-187.9999999999998,-323.49700000000087
410,-155.00000000000003,-322.8570000000009
411,-245.99999999999892,-323.4670000000009
412,-47.000000000000504,-320.9770000000009
413,-172.99999999999986,-320.9470000000009
414,-269.9999999999997,-323.11700000000087
415,-57.000000000000625,-319.6840000000009
416,-400.7000000000021,-322.9510000000009
417,-45.000000000000625,-322.8110000000009
418,-400.90000000000214,-320.6840000000009
419,-598.2,-326.08600000000087
420,-354.00000000000114,-325.61700000000087
421,-129.00000000000017,-326.4270000000009
422,-400.10000000000207,-326.42300000000085
423,-619.3000000000001,-328.60900000000083
424,-175.99999999999986,-326.36400000000083
425,-400.10000000000207,-324.26200000000085
426,-400.100000000002,-322.25500000000085
427,-400.4000000000021,-325.8090000000009
428,-172.99999999999997,-327.0490000000009
429,-629.0000000000002,-329.3310000000009
430,-400.60000000000207,-329.3260000000009
431,-320.0000000000006,-329.7160000000009
432,-400.50000000000205,-327.1520000000009
433,-387.000000000002,-327.0190000000009
434,-401.10000000000207,-328.3000000000009
435,-655.4000000000007,-332.78400000000096
436,-396.0000000000021,-333.59400000000096
437,-598.2,-335.57400000000086
438,-139.99999999999886,-333.0640000000009
439,-252.99999999999753,-329.61200000000093
440,-606.7,-331.6680000000008
441,-380.0000000000018,-333.23800000000085
442,-598.2,-338.7000000000008
443,-608.2,-338.48900000000083
444,-400.30000000000206,-341.3920000000008
445,-600.5,-340.9220000000008
446,-400.20000000000215,-342.2440000000009
447,-49.000000000000576,-339.2140000000009
448,-400.3000000000035,-339.5270000000009
449,-400.100000000002,-339.5270000000008
450,-346.0000000000011,-340.24700000000087
451,-611.8,-343.9650000000009
452,-400.20000000000203,-341.59500000000094
453,-598.2,-343.5680000000009
454,-400.10000000000207,-343.56500000000085
455,-598.2,-345.5450000000008
456,-606.5,-350.4600000000008
457,-400.400000000002,-350.4550000000008
458,-619.7,-354.67200000000076
459,-52.00000000000061,-349.2100000000008
460,-361.0000000000012,-348.81600000000077
461,-56.00000000000066,-348.9060000000008
462,-57.00000000000062,-345.47200000000083
463,-400.200000000002,-345.4700000000009
464,-400.30000000000206,-345.49300000000085
465,-400.20000000000215,-347.16500000000093
466,-401.0000000000022,-347.16700000000094
467,-617.1,-349.33200000000085
468,-211.99999999999966,-345.3300000000009
469,-600.5,-350.3650000000008
470,-611.5,-352.47900000000084
471,-249.9999999999994,-352.04900000000083
472,-613.9,-354.30800000000085
473,-400.60000000000207,-355.61400000000083
474,-110.0000000000003,-350.50700000000074
475,-618.5,-354.32200000000086
476,-640.0000000000001,-356.7110000000007
477,-598.2,-358.6890000000008
478,-598.2,-363.8210000000007
479,-400.20000000000215,-363.81700000000075
480,-401.0000000000021,-360.42800000000074
481,-400.30000000000206,-358.1700000000008
482,-641.5000000000006,-360.5800000000008
483,-602.4000000000001,-366.0640000000008
484,-400.6000000000021,-366.3700000000008
485,-400.80000000000206,-366.37200000000075
486,-66.00000000000058,-363.4620000000008
487,-638.1000000000004,-363.4140000000007
488,-400.20000000000203,-361.4340000000008
489,-260.99999999999994,-363.3340000000008
490,-612.3000000000001,-368.20700000000085
491,-291.0,-368.5770000000009
492,-400.9000000000021,-369.5860000000008
493,-190.99999999999977,-370.9860000000008
494,-400.100000000002,-372.3370000000008
495,-400.3000000000021,-374.0700000000008
496,-621.2,-379.7120000000008
497,-601.6,-381.72300000000075
498,-400.4000000000022,-383.8970000000008
499,-400.60000000000207,-386.49300000000073
500,-401.1000000000037,-387.22400000000084
501,-401.00000000000193,-388.8240000000008
502,-305.0000000000004,-388.17400000000083
503,-400.700000000005,-390.49100000000095
504,-57.00000000000068,-388.2010000000009
505,-623.7000000000002,-392.8180000000009
506,-258.99999999999943,-391.3990000000009
507,-400.30000000000206,-394.16200000000094
508,-637.0000000000003,-396.52700000000084
509,-400.60000000000207,-398.653000000001
510,-598.2,-403.0850000000009
511,-276.9999999999998,-403.39500000000095
512,-55.00000000000063,-403.4750000000009
513,-400.2000000000021,-405.747000000001
514,-401.00000000000205,-407.057000000001
515,-400.7000000000022,-410.4940000000011
516,-401.0000000000021,-410.497000000001
517,-607.9,-416.12600000000106
518,-205.99999999999974,-414.17700000000104
519,-395.000000000002,-412.145000000001
520,-400.20000000000203,-412.60700000000105
521,-400.80000000000206,-415.32500000000107
522,-182.99999999999986,-413.154000000001
523,-159.00000000000003,-408.551000000001
524,-400.10000000000207,-410.79200000000105
